[2026-02-20 11:15:46] Starting training | model=resnet_cifar | mode=best
[2026-02-20 11:15:46] Device: cuda
[2026-02-20 11:15:48] Best mode: strong aug, SGD + cosine LR, early stop patience=30
[2026-02-20 11:15:48] Train: 45000 | Val: 5000 | Test: 10000
[2026-02-20 11:29:55] Epoch 60 | Train Loss: 4.5961 | Train Acc: 1.80% | Val Loss: 4.5997 | Val Acc: 1.40% | LR: 0.099114 | Elapsed: 00:14:07
[2026-02-20 11:30:09] Epoch 61 | Train Loss: 4.5963 | Train Acc: 1.79% | Val Loss: 4.5998 | Val Acc: 1.32% | LR: 0.099085 | Elapsed: 00:14:20
[2026-02-20 11:30:23] Epoch 62 | Train Loss: 4.5958 | Train Acc: 1.82% | Val Loss: 4.6001 | Val Acc: 1.38% | LR: 0.099055 | Elapsed: 00:14:34
[2026-02-20 11:30:37] Epoch 63 | Train Loss: 4.5961 | Train Acc: 1.80% | Val Loss: 4.5988 | Val Acc: 1.52% | LR: 0.099024 | Elapsed: 00:14:49
[2026-02-20 11:30:51] Epoch 64 | Train Loss: 4.5963 | Train Acc: 1.75% | Val Loss: 4.6003 | Val Acc: 1.38% | LR: 0.098993 | Elapsed: 00:15:03
[2026-02-20 11:31:05] Epoch 65 | Train Loss: 4.5961 | Train Acc: 1.78% | Val Loss: 4.6010 | Val Acc: 1.48% | LR: 0.098961 | Elapsed: 00:15:17
[2026-02-20 11:31:19] Epoch 66 | Train Loss: 4.5956 | Train Acc: 1.81% | Val Loss: 4.5993 | Val Acc: 1.26% | LR: 0.098929 | Elapsed: 00:15:31
[2026-02-20 11:31:33] Epoch 67 | Train Loss: 4.5966 | Train Acc: 1.78% | Val Loss: 4.6001 | Val Acc: 1.42% | LR: 0.098896 | Elapsed: 00:15:45
[2026-02-20 11:31:48] Epoch 68 | Train Loss: 4.5968 | Train Acc: 1.73% | Val Loss: 4.6005 | Val Acc: 1.30% | LR: 0.098863 | Elapsed: 00:15:59
[2026-02-20 11:32:02] Epoch 69 | Train Loss: 4.5961 | Train Acc: 1.80% | Val Loss: 4.5988 | Val Acc: 1.50% | LR: 0.098830 | Elapsed: 00:16:13
[2026-02-20 11:32:15] Epoch 70 | Train Loss: 4.5960 | Train Acc: 1.78% | Val Loss: 4.5996 | Val Acc: 1.48% | LR: 0.098796 | Elapsed: 00:16:27
[2026-02-20 11:32:29] Epoch 71 | Train Loss: 4.5958 | Train Acc: 1.81% | Val Loss: 4.5988 | Val Acc: 1.42% | LR: 0.098761 | Elapsed: 00:16:41
