[2026-02-19 23:52:37] Starting training | model=resnet_cifar | mode=collapse
[2026-02-19 23:52:37] Device: cuda
[2026-02-19 23:52:38] Collapse mode: no augmentation, Adam, no weight decay
[2026-02-19 23:52:38] Train: 45000 | Val: 5000 | Test: 10000
[2026-02-19 23:56:32] Epoch 59 | Train Loss: 4.1787 | Train Acc: 45.04% | Val Loss: 4.3276 | Val Acc: 30.16% | LR: 0.001000 | Elapsed: 00:03:53
[2026-02-19 23:56:36] Epoch 60 | Train Loss: 4.1729 | Train Acc: 45.62% | Val Loss: 4.3345 | Val Acc: 29.44% | LR: 0.001000 | Elapsed: 00:03:57
[2026-02-19 23:56:40] Epoch 61 | Train Loss: 4.1737 | Train Acc: 45.53% | Val Loss: 4.3224 | Val Acc: 30.78% | LR: 0.001000 | Elapsed: 00:04:01
[2026-02-19 23:56:44] Epoch 62 | Train Loss: 4.1692 | Train Acc: 46.02% | Val Loss: 4.3225 | Val Acc: 30.86% | LR: 0.001000 | Elapsed: 00:04:05
[2026-02-19 23:56:47] Epoch 63 | Train Loss: 4.1678 | Train Acc: 46.08% | Val Loss: 4.3249 | Val Acc: 30.20% | LR: 0.001000 | Elapsed: 00:04:09
[2026-02-19 23:56:51] Epoch 64 | Train Loss: 4.1654 | Train Acc: 46.34% | Val Loss: 4.3278 | Val Acc: 30.02% | LR: 0.001000 | Elapsed: 00:04:13
[2026-02-19 23:56:55] Epoch 65 | Train Loss: 4.1630 | Train Acc: 46.55% | Val Loss: 4.3201 | Val Acc: 30.96% | LR: 0.001000 | Elapsed: 00:04:17
[2026-02-19 23:56:59] Epoch 66 | Train Loss: 4.1587 | Train Acc: 46.95% | Val Loss: 4.3220 | Val Acc: 30.80% | LR: 0.001000 | Elapsed: 00:04:21
[2026-02-19 23:57:03] Epoch 67 | Train Loss: 4.1591 | Train Acc: 46.97% | Val Loss: 4.3193 | Val Acc: 31.00% | LR: 0.001000 | Elapsed: 00:04:25
[2026-02-19 23:57:08] Epoch 68 | Train Loss: 4.1556 | Train Acc: 47.24% | Val Loss: 4.3212 | Val Acc: 30.28% | LR: 0.001000 | Elapsed: 00:04:29
[2026-02-19 23:57:12] Epoch 69 | Train Loss: 4.1530 | Train Acc: 47.51% | Val Loss: 4.3257 | Val Acc: 29.94% | LR: 0.001000 | Elapsed: 00:04:33
[2026-02-19 23:57:16] Epoch 70 | Train Loss: 4.1522 | Train Acc: 47.67% | Val Loss: 4.3227 | Val Acc: 30.74% | LR: 0.001000 | Elapsed: 00:04:37
[2026-02-19 23:57:19] Epoch 71 | Train Loss: 4.1503 | Train Acc: 47.77% | Val Loss: 4.3248 | Val Acc: 30.46% | LR: 0.001000 | Elapsed: 00:04:41
[2026-02-19 23:57:23] Epoch 72 | Train Loss: 4.1484 | Train Acc: 48.08% | Val Loss: 4.3179 | Val Acc: 31.26% | LR: 0.001000 | Elapsed: 00:04:45
[2026-02-19 23:57:27] Epoch 73 | Train Loss: 4.1433 | Train Acc: 48.58% | Val Loss: 4.3166 | Val Acc: 31.22% | LR: 0.001000 | Elapsed: 00:04:49
[2026-02-19 23:57:31] Epoch 74 | Train Loss: 4.1402 | Train Acc: 48.92% | Val Loss: 4.3161 | Val Acc: 31.42% | LR: 0.001000 | Elapsed: 00:04:53
[2026-02-19 23:57:35] Epoch 75 | Train Loss: 4.1363 | Train Acc: 49.24% | Val Loss: 4.3159 | Val Acc: 31.36% | LR: 0.001000 | Elapsed: 00:04:57
[2026-02-19 23:57:39] Epoch 76 | Train Loss: 4.1337 | Train Acc: 49.57% | Val Loss: 4.3220 | Val Acc: 30.74% | LR: 0.001000 | Elapsed: 00:05:01
[2026-02-19 23:57:43] Epoch 77 | Train Loss: 4.1306 | Train Acc: 49.84% | Val Loss: 4.3212 | Val Acc: 30.94% | LR: 0.001000 | Elapsed: 00:05:04
[2026-02-19 23:57:47] Epoch 78 | Train Loss: 4.1282 | Train Acc: 50.08% | Val Loss: 4.3147 | Val Acc: 31.52% | LR: 0.001000 | Elapsed: 00:05:08
[2026-02-19 23:57:51] Epoch 79 | Train Loss: 4.1264 | Train Acc: 50.24% | Val Loss: 4.3178 | Val Acc: 31.04% | LR: 0.001000 | Elapsed: 00:05:12
[2026-02-19 23:57:55] Epoch 80 | Train Loss: 4.1231 | Train Acc: 50.58% | Val Loss: 4.3157 | Val Acc: 31.42% | LR: 0.001000 | Elapsed: 00:05:16
[2026-02-19 23:57:59] Epoch 81 | Train Loss: 4.1215 | Train Acc: 50.66% | Val Loss: 4.3192 | Val Acc: 31.18% | LR: 0.001000 | Elapsed: 00:05:20
[2026-02-19 23:58:02] Epoch 82 | Train Loss: 4.1207 | Train Acc: 50.83% | Val Loss: 4.3194 | Val Acc: 31.00% | LR: 0.001000 | Elapsed: 00:05:24
[2026-02-19 23:58:06] Epoch 83 | Train Loss: 4.1179 | Train Acc: 51.04% | Val Loss: 4.3165 | Val Acc: 31.18% | LR: 0.001000 | Elapsed: 00:05:28
[2026-02-19 23:58:11] Epoch 84 | Train Loss: 4.1189 | Train Acc: 50.94% | Val Loss: 4.3196 | Val Acc: 30.66% | LR: 0.001000 | Elapsed: 00:05:33
[2026-02-19 23:58:15] Epoch 85 | Train Loss: 4.1142 | Train Acc: 51.37% | Val Loss: 4.3178 | Val Acc: 31.26% | LR: 0.001000 | Elapsed: 00:05:36
[2026-02-19 23:58:19] Epoch 86 | Train Loss: 4.1142 | Train Acc: 51.38% | Val Loss: 4.3213 | Val Acc: 30.72% | LR: 0.001000 | Elapsed: 00:05:40
[2026-02-19 23:58:23] Epoch 87 | Train Loss: 4.1140 | Train Acc: 51.43% | Val Loss: 4.3143 | Val Acc: 31.26% | LR: 0.001000 | Elapsed: 00:05:44
[2026-02-19 23:58:27] Epoch 88 | Train Loss: 4.1105 | Train Acc: 51.74% | Val Loss: 4.3133 | Val Acc: 31.00% | LR: 0.001000 | Elapsed: 00:05:48
[2026-02-19 23:58:31] Epoch 89 | Train Loss: 4.1098 | Train Acc: 51.84% | Val Loss: 4.3106 | Val Acc: 31.96% | LR: 0.001000 | Elapsed: 00:05:52
[2026-02-19 23:58:34] Epoch 90 | Train Loss: 4.1093 | Train Acc: 51.88% | Val Loss: 4.3168 | Val Acc: 31.20% | LR: 0.001000 | Elapsed: 00:05:56
[2026-02-19 23:58:38] Epoch 91 | Train Loss: 4.1061 | Train Acc: 52.20% | Val Loss: 4.3162 | Val Acc: 31.06% | LR: 0.001000 | Elapsed: 00:06:00
[2026-02-19 23:58:42] Epoch 92 | Train Loss: 4.1034 | Train Acc: 52.51% | Val Loss: 4.3155 | Val Acc: 31.62% | LR: 0.001000 | Elapsed: 00:06:04
[2026-02-19 23:58:46] Epoch 93 | Train Loss: 4.1008 | Train Acc: 52.82% | Val Loss: 4.3075 | Val Acc: 32.38% | LR: 0.001000 | Elapsed: 00:06:08
[2026-02-19 23:58:50] Epoch 94 | Train Loss: 4.0961 | Train Acc: 53.21% | Val Loss: 4.3082 | Val Acc: 32.04% | LR: 0.001000 | Elapsed: 00:06:12
[2026-02-19 23:58:54] Epoch 95 | Train Loss: 4.0942 | Train Acc: 53.37% | Val Loss: 4.3042 | Val Acc: 32.08% | LR: 0.001000 | Elapsed: 00:06:16
[2026-02-19 23:58:58] Epoch 96 | Train Loss: 4.0919 | Train Acc: 53.59% | Val Loss: 4.3090 | Val Acc: 31.80% | LR: 0.001000 | Elapsed: 00:06:19
[2026-02-19 23:59:02] Epoch 97 | Train Loss: 4.0888 | Train Acc: 53.89% | Val Loss: 4.3128 | Val Acc: 31.30% | LR: 0.001000 | Elapsed: 00:06:23
[2026-02-19 23:59:06] Epoch 98 | Train Loss: 4.0886 | Train Acc: 53.90% | Val Loss: 4.3068 | Val Acc: 32.16% | LR: 0.001000 | Elapsed: 00:06:27
[2026-02-19 23:59:10] Epoch 99 | Train Loss: 4.0905 | Train Acc: 53.72% | Val Loss: 4.3016 | Val Acc: 32.82% | LR: 0.001000 | Elapsed: 00:06:31
[2026-02-19 23:59:14] Epoch 100 | Train Loss: 4.0870 | Train Acc: 54.08% | Val Loss: 4.3039 | Val Acc: 32.30% | LR: 0.001000 | Elapsed: 00:06:36
[2026-02-19 23:59:18] Epoch 101 | Train Loss: 4.0852 | Train Acc: 54.27% | Val Loss: 4.3102 | Val Acc: 31.88% | LR: 0.001000 | Elapsed: 00:06:40
[2026-02-19 23:59:22] Epoch 102 | Train Loss: 4.0833 | Train Acc: 54.42% | Val Loss: 4.3061 | Val Acc: 32.06% | LR: 0.001000 | Elapsed: 00:06:44
[2026-02-19 23:59:26] Epoch 103 | Train Loss: 4.0827 | Train Acc: 54.47% | Val Loss: 4.3074 | Val Acc: 32.24% | LR: 0.001000 | Elapsed: 00:06:48
[2026-02-19 23:59:30] Epoch 104 | Train Loss: 4.0825 | Train Acc: 54.49% | Val Loss: 4.3024 | Val Acc: 32.30% | LR: 0.001000 | Elapsed: 00:06:51
[2026-02-19 23:59:34] Epoch 105 | Train Loss: 4.0792 | Train Acc: 54.83% | Val Loss: 4.3093 | Val Acc: 32.06% | LR: 0.001000 | Elapsed: 00:06:55
[2026-02-19 23:59:38] Epoch 106 | Train Loss: 4.0803 | Train Acc: 54.72% | Val Loss: 4.3033 | Val Acc: 32.32% | LR: 0.001000 | Elapsed: 00:06:59
[2026-02-19 23:59:42] Epoch 107 | Train Loss: 4.0772 | Train Acc: 55.02% | Val Loss: 4.2998 | Val Acc: 32.48% | LR: 0.001000 | Elapsed: 00:07:03
[2026-02-19 23:59:45] Epoch 108 | Train Loss: 4.0768 | Train Acc: 55.04% | Val Loss: 4.3087 | Val Acc: 31.28% | LR: 0.001000 | Elapsed: 00:07:07
[2026-02-19 23:59:49] Epoch 109 | Train Loss: 4.0769 | Train Acc: 55.02% | Val Loss: 4.3030 | Val Acc: 32.34% | LR: 0.001000 | Elapsed: 00:07:11
[2026-02-19 23:59:53] Epoch 110 | Train Loss: 4.0755 | Train Acc: 55.17% | Val Loss: 4.3087 | Val Acc: 31.78% | LR: 0.001000 | Elapsed: 00:07:15
[2026-02-19 23:59:57] Epoch 111 | Train Loss: 4.0751 | Train Acc: 55.22% | Val Loss: 4.3026 | Val Acc: 32.58% | LR: 0.001000 | Elapsed: 00:07:19
[2026-02-20 00:00:01] Epoch 112 | Train Loss: 4.0722 | Train Acc: 55.48% | Val Loss: 4.3032 | Val Acc: 32.22% | LR: 0.001000 | Elapsed: 00:07:23
[2026-02-20 00:00:05] Epoch 113 | Train Loss: 4.0703 | Train Acc: 55.72% | Val Loss: 4.3046 | Val Acc: 31.98% | LR: 0.001000 | Elapsed: 00:07:27
[2026-02-20 00:00:09] Epoch 114 | Train Loss: 4.0711 | Train Acc: 55.62% | Val Loss: 4.3166 | Val Acc: 31.14% | LR: 0.001000 | Elapsed: 00:07:30
[2026-02-20 00:00:13] Epoch 115 | Train Loss: 4.0681 | Train Acc: 55.86% | Val Loss: 4.3059 | Val Acc: 31.90% | LR: 0.001000 | Elapsed: 00:07:34
[2026-02-20 00:00:17] Epoch 116 | Train Loss: 4.0667 | Train Acc: 56.02% | Val Loss: 4.3090 | Val Acc: 31.58% | LR: 0.001000 | Elapsed: 00:07:39
[2026-02-20 00:00:21] Epoch 117 | Train Loss: 4.0669 | Train Acc: 56.10% | Val Loss: 4.3064 | Val Acc: 31.76% | LR: 0.001000 | Elapsed: 00:07:43
[2026-02-20 00:00:25] Epoch 118 | Train Loss: 4.0663 | Train Acc: 56.07% | Val Loss: 4.2984 | Val Acc: 32.76% | LR: 0.001000 | Elapsed: 00:07:47
[2026-02-20 00:00:29] Epoch 119 | Train Loss: 4.0631 | Train Acc: 56.40% | Val Loss: 4.3050 | Val Acc: 31.96% | LR: 0.001000 | Elapsed: 00:07:51
[2026-02-20 00:00:33] Epoch 120 | Train Loss: 4.0600 | Train Acc: 56.64% | Val Loss: 4.3049 | Val Acc: 32.30% | LR: 0.001000 | Elapsed: 00:07:55
[2026-02-20 00:00:37] Epoch 121 | Train Loss: 4.0595 | Train Acc: 56.78% | Val Loss: 4.3040 | Val Acc: 32.38% | LR: 0.001000 | Elapsed: 00:07:58
